dataset,n_obs,n_clusters,seed,variant,encoder,view_mode,sampling,weights,elapsed_sec,wall_sec,peak_memory_mib,ARI,NMI,AMI,FMI
tonsil_s1,4326,4,101,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",12.705016613006592,13.232717514038086,55.728515625,0.04367230341443047,0.11551783223386818,0.11465318371335909,0.4083312408479608
tonsil_s1,4326,4,101,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",12.285656213760376,12.52389645576477,55.728515625,0.03741156542857166,0.11023176607324926,0.10917566266139692,0.49647919516725714
tonsil_s1,4326,4,101,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",7.705007791519165,7.845054864883423,45.228515625,-0.0024970994946814855,0.03392364347381022,0.032785676196187656,0.45558955108945565
tonsil_s1,4326,4,101,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.2658135890960693,2.4383835792541504,426.42431640625,0.02257263695517977,0.07742032778307016,0.07633916290349786,0.48172342736553625
tonsil_s1,4326,4,101,RNA_only,GAT,view_specific,cluster,"(1.0,)",6.97147274017334,7.107260465621948,40.533203125,0.007230101818366495,0.031242492713318793,0.029536349762519468,0.6280023794765432
tonsil_s1,4326,4,101,ADT_only,GAT,view_specific,cluster,"(1.0,)",6.91379714012146,7.103117942810059,40.533203125,0.05294715880166767,0.09135762395397076,0.09056757208782888,0.3744160107359259
tonsil_s1,4326,4,101,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",6.846408843994141,7.0268659591674805,22.95849609375,0.08963256682829106,0.14326755874043437,0.14251329036130428,0.4065308405915442
tonsil_s1,4326,4,101,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",9.263972520828247,9.41873049736023,21.81494140625,0.059711737590478625,0.11776065679478173,0.1170072148846989,0.36799995777603983
tonsil_s1,4326,4,202,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",11.882732629776001,12.078772783279419,57.30029296875,0.07453413498498472,0.1361158597655039,0.13528481022620376,0.4339536017508424
tonsil_s1,4326,4,202,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",11.235759735107422,11.43856167793274,57.30029296875,0.04860411410867015,0.11426215711306338,0.11319496762512099,0.5035012671941931
tonsil_s1,4326,4,202,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",7.556032180786133,7.7463014125823975,45.31396484375,0.023669115454828495,0.08131398252359666,0.08022003899720698,0.4670354810245846
tonsil_s1,4326,4,202,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.3007454872131348,2.5013279914855957,426.42431640625,0.00893900697523408,0.019045104719061352,0.017196812930871424,0.6390625780188215
tonsil_s1,4326,4,202,RNA_only,GAT,view_specific,cluster,"(1.0,)",8.081980466842651,8.227064371109009,42.6044921875,0.01319050800100185,0.01906555709362042,0.017197779537002158,0.6421657637780093
tonsil_s1,4326,4,202,ADT_only,GAT,view_specific,cluster,"(1.0,)",7.976039409637451,8.114993810653687,42.6044921875,0.036720544147248756,0.08953884138079186,0.0887560318749801,0.3569377545666702
tonsil_s1,4326,4,202,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",7.008439540863037,7.1521852016448975,22.97900390625,0.06377500126410056,0.13345229516239093,0.1326842541460955,0.3940894371768311
tonsil_s1,4326,4,202,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",8.78060793876648,8.916765451431274,21.84375,0.10386571308110164,0.16415442227920082,0.16343539181870442,0.40354434577759846
tonsil_s1,4326,4,303,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",11.770246505737305,12.052322149276733,58.01025390625,0.08790943819646806,0.13194861246711087,0.1309954632314556,0.5086181693266366
tonsil_s1,4326,4,303,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",11.999476194381714,12.201146602630615,58.01025390625,0.08286093956398441,0.093100003586596,0.092005970138027,0.5312385983789462
tonsil_s1,4326,4,303,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",6.691319465637207,6.849337100982666,45.27099609375,0.06537730315328566,0.1310807846806091,0.1300702110889261,0.48441700669330406
tonsil_s1,4326,4,303,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.1895487308502197,2.334714412689209,426.42431640625,0.0676649746550439,0.058744679559764854,0.05761007293273988,0.5069917264408352
tonsil_s1,4326,4,303,RNA_only,GAT,view_specific,cluster,"(1.0,)",6.841783285140991,6.980220556259155,42.5859375,0.0796483764497331,0.0698459581274423,0.06877955041806287,0.49855086723545006
tonsil_s1,4326,4,303,ADT_only,GAT,view_specific,cluster,"(1.0,)",7.5175230503082275,7.6620495319366455,42.5859375,0.0037520520661587908,0.018539946409305213,0.01753368927829714,0.40386294714194104
tonsil_s1,4326,4,303,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",7.448853492736816,7.591217994689941,22.98291015625,0.08492985508420378,0.1520003632792765,0.15125171222665446,0.4049283087926258
tonsil_s1,4326,4,303,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",8.916550397872925,9.04519772529602,21.84716796875,0.08615720362618322,0.16456256375937672,0.1638386446204514,0.3952418062172705
tonsil_s2,4518,4,101,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",12.38079833984375,12.666574954986572,58.5576171875,-0.010944790731745802,0.0182207464938964,0.017111850924838214,0.44373283884109643
tonsil_s2,4518,4,101,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",11.616761684417725,11.821189641952515,58.5576171875,-0.010132029198479258,0.018610082146410387,0.017503535908198375,0.4427934819101513
tonsil_s2,4518,4,101,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",8.059684753417969,8.216546773910522,45.92919921875,0.0007363297208973419,0.03694065650339744,0.03587696770818807,0.4404562614453073
tonsil_s2,4518,4,101,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",1.7734320163726807,1.9171335697174072,447.46875,-0.009803246887189062,0.020610847913373472,0.018929407182835166,0.6126548929672334
tonsil_s2,4518,4,101,RNA_only,GAT,view_specific,cluster,"(1.0,)",6.871673107147217,7.036432981491089,42.69873046875,-0.0003927159725834393,0.032769648837044946,0.031158386625370238,0.6132571456479451
tonsil_s2,4518,4,101,ADT_only,GAT,view_specific,cluster,"(1.0,)",7.499163389205933,7.644415855407715,42.69873046875,0.04774450421135679,0.05672106727113666,0.05582475958427347,0.40800294745713434
tonsil_s2,4518,4,101,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",6.7905309200286865,6.946486949920654,23.18017578125,0.054223088166385616,0.12975767283898557,0.12902454047424033,0.3823302121567345
tonsil_s2,4518,4,101,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",9.962631225585938,10.094156742095947,22.0419921875,0.07093613303263577,0.12924341463456868,0.1285369723546282,0.3717827750210026
tonsil_s2,4518,4,202,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",12.196534633636475,12.469659328460693,58.09814453125,0.03922930935124788,0.0729861198609866,0.07199654918250355,0.4602417303751594
tonsil_s2,4518,4,202,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",11.42038106918335,11.692786455154419,58.09814453125,0.03993512161878958,0.07616012104209373,0.07517300099837838,0.4609407396737202
tonsil_s2,4518,4,202,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",7.1289544105529785,7.354712009429932,46.2314453125,0.03149709754547903,0.12311048794337531,0.122227064639342,0.45867468573018816
tonsil_s2,4518,4,202,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.2872328758239746,2.4644412994384766,447.46875,0.03779588709026148,0.07407241444343524,0.0730267411701649,0.46680366960774194
tonsil_s2,4518,4,202,RNA_only,GAT,view_specific,cluster,"(1.0,)",6.7387731075286865,6.891211986541748,42.70849609375,0.03755791989436676,0.061539395209027334,0.060528008564186095,0.46378674301663025
tonsil_s2,4518,4,202,ADT_only,GAT,view_specific,cluster,"(1.0,)",7.179882049560547,7.330059051513672,42.70849609375,0.09356939389712249,0.11014464477661512,0.10928494101922065,0.45219786949889923
tonsil_s2,4518,4,202,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",6.835134267807007,6.990137338638306,23.2265625,0.06601816496341667,0.12320631106545453,0.12246528313909472,0.39241256748909226
tonsil_s2,4518,4,202,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",10.246142148971558,10.404191017150879,22.0478515625,0.07810752587238554,0.14010054004506173,0.13940680594070834,0.3729188390718355
tonsil_s2,4518,4,303,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",11.240766763687134,11.519078969955444,58.26953125,0.04651057794580885,0.12050995444558775,0.11968932410596052,0.40949017621322353
tonsil_s2,4518,4,303,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",11.990876197814941,12.26486849784851,58.26953125,0.04413952032292557,0.11526676101475156,0.11443646933501804,0.4116245631974086
tonsil_s2,4518,4,303,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",7.30707573890686,7.523054599761963,45.76220703125,0.0535256413365362,0.09433267938372937,0.09332373012549015,0.4716678456756183
tonsil_s2,4518,4,303,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.251397132873535,2.474106550216675,447.46875,0.011979939273669048,0.04061748781915254,0.03957056466867711,0.4448919213190957
tonsil_s2,4518,4,303,RNA_only,GAT,view_specific,cluster,"(1.0,)",7.627644300460815,7.784004211425781,42.71923828125,-0.004986207358433596,0.0290755523215541,0.02790085648664383,0.5107600711894457
tonsil_s2,4518,4,303,ADT_only,GAT,view_specific,cluster,"(1.0,)",7.674392461776733,7.860745668411255,42.71923828125,0.013388871926333376,0.061547196474936144,0.06075619562966305,0.35252042108088855
tonsil_s2,4518,4,303,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",6.9239678382873535,7.067975759506226,23.2060546875,0.06242585207533689,0.14103797419200942,0.1403093719448943,0.39210102272344943
tonsil_s2,4518,4,303,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",10.575665712356567,10.715431451797485,22.1064453125,0.08738281678179177,0.14731314086864225,0.14662293360427692,0.3816905023985412
hln_A1,3484,10,101,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",9.56967568397522,9.743751525878906,57.29931640625,0.20720371047305255,0.3397527484087102,0.3354312354849841,0.36247826948344664
hln_A1,3484,10,101,equal_weights,GAT,view_specific,cluster,"(1.0, 1.0)",9.072955846786499,9.257393598556519,57.29931640625,0.20470222079998593,0.33811573102423614,0.3337880910708644,0.359919952488416
hln_A1,3484,10,101,early_concat_single_encoder,GAT,concat,cluster,"(1.0,)",6.0259270668029785,6.145853042602539,42.7548828125,0.1642466554565338,0.30443207194108135,0.2999500992329738,0.3178497022361046
hln_A1,3484,10,101,full_batch_no_microcluster,GAT,view_specific,full,"(0.4, 0.6)",2.2761895656585693,2.3798418045043945,338.12890625,0.25291969017477833,0.3554815970761035,0.3510971397150857,0.41471728893852255
hln_A1,3484,10,101,RNA_only,GAT,view_specific,cluster,"(1.0,)",5.560575723648071,5.670144081115723,42.642578125,0.23399806252649813,0.35024422403482464,0.34585178019362034,0.3976290970418613
hln_A1,3484,10,101,ADT_only,GAT,view_specific,cluster,"(1.0,)",5.355709552764893,5.469181776046753,42.642578125,0.12825752209174468,0.2665216097521699,0.26181906150217316,0.2849188279552384
hln_A1,3484,10,101,GCN_encoder,GCN,view_specific,cluster,"(0.4, 0.6)",5.142791032791138,5.2599568367004395,23.0283203125,0.18220530758403428,0.31184629537493114,0.3073325256742825,0.33942490807521003
hln_A1,3484,10,101,SAGE_encoder,SAGE,view_specific,cluster,"(0.4, 0.6)",6.6610753536224365,6.7735435962677,21.7822265625,0.1311172522632402,0.27520598367481813,0.2707084941894338,0.2766952778553018
hln_A1,3484,10,202,SMAHD_full,GAT,view_specific,cluster,"(0.4, 0.6)",9.221697807312012,9.38887882232666,57.6083984375,0.17642157177181883,0.3119029996312093,0.3074713315164463,0.33031191041828417
